index,image_file,label_file,slice_num,our_AP,their_AP
1,AllenCCF_Z001,1_AP+4.3,95,4.45,4.3
2,AllenCCF_Z002,2_AP+4.2,105,4.35,4.2
3,AllenCCF_Z003,3_AP+4.1,115,4.25,4.1
4,AllenCCF_Z004,4_AP+4.0,125,4.15,4
5,AllenCCF_Z005,5_AP+3.9,135,4.05,3.9
6,AllenCCF_Z006,6_AP+3.8,145,3.95,3.8
7,AllenCCF_Z007,7_AP+3.7,155,3.85,3.7
8,AllenCCF_Z008,8_AP+3.6,165,3.75,3.6
9,AllenCCF_Z009,9_AP+3.5,175,3.65,3.5
10,AllenCCF_Z010,10_AP+3.4,185,3.55,3.4
11,AllenCCF_Z011,11_AP+3.3,195,3.45,3.3
12,AllenCCF_Z012,12_AP+3.2,205,3.35,3.2
13,AllenCCF_Z013,13_AP+3.1,215,3.25,3.1
14,AllenCCF_Z014,14_AP+3.0,225,3.15,3
15,AllenCCF_Z015,15_AP+2.9,235,3.05,2.9
16,AllenCCF_Z016,16_AP+2.8,245,2.95,2.8
17,AllenCCF_Z017,17_AP+2.7,255,2.85,2.7
18,AllenCCF_Z018,18_AP+2.6,265,2.75,2.6
19,AllenCCF_Z019,19_AP+2.5,275,2.65,2.5
20,AllenCCF_Z020,20_AP+2.4,285,2.55,2.4
21,AllenCCF_Z021,21_AP+2.3,295,2.45,2.3
22,AllenCCF_Z022,22_AP+2.2,305,2.35,2.2
23,AllenCCF_Z023,23_AP+2.1,315,2.25,2.1
24,AllenCCF_Z024,24_AP+2.0,325,2.15,2
25,AllenCCF_Z025,25_AP+1.9,335,2.05,1.9
26,AllenCCF_Z026,26_AP+1.8,345,1.95,1.8
27,AllenCCF_Z027,27_AP+1.7,355,1.85,1.7
28,AllenCCF_Z028,28_AP+1.6,365,1.75,1.6
29,AllenCCF_Z029,29_AP+1.5,375,1.65,1.5
30,AllenCCF_Z030,30_AP+1.4,385,1.55,1.4
31,AllenCCF_Z031,31_AP+1.3,395,1.45,1.3
32,AllenCCF_Z032,32_AP+1.2,405,1.35,1.2
33,AllenCCF_Z033,33_AP+1.1,415,1.25,1.1
34,AllenCCF_Z034,34_AP+1.0,425,1.15,1
35,AllenCCF_Z035,35_AP+0.9,435,1.05,0.9
36,AllenCCF_Z036,36_AP+0.8,445,0.95,0.8
37,AllenCCF_Z037,37_AP+0.7,455,0.85,0.7
38,AllenCCF_Z038,38_AP+0.6,465,0.75,0.6
39,AllenCCF_Z039,39_AP+0.5,475,0.65,0.5
40,AllenCCF_Z040,40_AP+0.4,485,0.55,0.4
41,AllenCCF_Z041,41_AP+0.3,495,0.45,0.3
42,AllenCCF_Z042,42_AP+0.2,505,0.35,0.2
43,AllenCCF_Z043,43_AP+0.1,515,0.25,0.1
44,AllenCCF_Z044,44_AP+0.0,525,0.15,0
45,AllenCCF_Z045,45_AP-0.1,535,0.05,-0.1
46,AllenCCF_Z046,46_AP-0.2,545,-0.05,-0.2
47,AllenCCF_Z047,47_AP-0.3,555,-0.15,-0.3
48,AllenCCF_Z048,48_AP-0.4,565,-0.25,-0.4
49,AllenCCF_Z049,49_AP-0.5,575,-0.35,-0.5
50,AllenCCF_Z050,50_AP-0.6,585,-0.45,-0.6
51,AllenCCF_Z051,51_AP-0.7,595,-0.55,-0.7
52,AllenCCF_Z052,52_AP-0.8,605,-0.65,-0.8
53,AllenCCF_Z053,53_AP-0.9,615,-0.75,-0.9
54,AllenCCF_Z054,54_AP-1.0,625,-0.85,-1
55,AllenCCF_Z055,55_AP-1.1,635,-0.95,-1.1
56,AllenCCF_Z056,56_AP-1.2,645,-1.05,-1.2
57,AllenCCF_Z057,57_AP-1.3,655,-1.15,-1.3
58,AllenCCF_Z058,58_AP-1.4,665,-1.25,-1.4
59,AllenCCF_Z059,59_AP-1.5,675,-1.35,-1.5
60,AllenCCF_Z060,60_AP-1.6,685,-1.45,-1.6
61,AllenCCF_Z061,61_AP-1.7,695,-1.55,-1.7
62,AllenCCF_Z062,62_AP-1.8,705,-1.65,-1.8
63,AllenCCF_Z063,63_AP-1.9,715,-1.75,-1.9
64,AllenCCF_Z064,64_AP-2.0,725,-1.85,-2
65,AllenCCF_Z065,65_AP-2.1,735,-1.95,-2.1
66,AllenCCF_Z066,66_AP-2.2,745,-2.05,-2.2
67,AllenCCF_Z067,67_AP-2.3,755,-2.15,-2.3
68,AllenCCF_Z068,68_AP-2.4,765,-2.25,-2.4
69,AllenCCF_Z069,69_AP-2.5,775,-2.35,-2.5
70,AllenCCF_Z070,70_AP-2.6,785,-2.45,-2.6
71,AllenCCF_Z071,71_AP-2.7,795,-2.55,-2.7
72,AllenCCF_Z072,72_AP-2.8,805,-2.65,-2.8
73,AllenCCF_Z073,73_AP-2.9,815,-2.75,-2.9
74,AllenCCF_Z074,74_AP-3.0,825,-2.85,-3
75,AllenCCF_Z075,75_AP-3.1,835,-2.95,-3.1
76,AllenCCF_Z076,76_AP-3.2,845,-3.05,-3.2
77,AllenCCF_Z077,77_AP-3.3,855,-3.15,-3.3
78,AllenCCF_Z078,78_AP-3.4,865,-3.25,-3.4
79,AllenCCF_Z079,79_AP-3.5,875,-3.35,-3.5
80,AllenCCF_Z080,80_AP-3.6,885,-3.45,-3.6
81,AllenCCF_Z081,81_AP-3.7,895,-3.55,-3.7
82,AllenCCF_Z082,82_AP-3.8,905,-3.65,-3.8
83,AllenCCF_Z083,83_AP-3.9,915,-3.75,-3.9
84,AllenCCF_Z084,84_AP-4.0,925,-3.85,-4
85,AllenCCF_Z085,85_AP-4.1,935,-3.95,-4.1
86,AllenCCF_Z086,86_AP-4.2,945,-4.05,-4.2
87,AllenCCF_Z087,87_AP-4.3,955,-4.15,-4.3
88,AllenCCF_Z088,88_AP-4.4,965,-4.25,-4.4
89,AllenCCF_Z089,89_AP-4.5,975,-4.35,-4.5
90,AllenCCF_Z090,90_AP-4.6,985,-4.45,-4.6
91,AllenCCF_Z091,91_AP-4.7,995,-4.55,-4.7
92,AllenCCF_Z092,92_AP-4.8,1005,-4.65,-4.8
93,AllenCCF_Z093,93_AP-4.9,1015,-4.75,-4.9
94,AllenCCF_Z094,94_AP-5.0,1025,-4.85,-5
95,AllenCCF_Z095,95_AP-5.1,1035,-4.95,-5.1
96,AllenCCF_Z096,96_AP-5.2,1045,-5.05,-5.2
97,AllenCCF_Z097,97_AP-5.3,1055,-5.15,-5.3
98,AllenCCF_Z098,98_AP-5.4,1065,-5.25,-5.4
99,AllenCCF_Z099,99_AP-5.5,1075,-5.35,-5.5
100,AllenCCF_Z100,100_AP-5.6,1085,-5.45,-5.6
101,AllenCCF_Z101,101_AP-5.7,1095,-5.55,-5.7
102,AllenCCF_Z102,102_AP-5.8,1105,-5.65,-5.8
103,AllenCCF_Z103,103_AP-5.9,1115,-5.75,-5.9
104,AllenCCF_Z104,104_AP-6.0,1125,-5.85,-6
105,AllenCCF_Z105,105_AP-6.1,1135,-5.95,-6.1
106,AllenCCF_Z106,106_AP-6.2,1145,-6.05,-6.2
107,AllenCCF_Z107,107_AP-6.3,1155,-6.15,-6.3
108,AllenCCF_Z108,108_AP-6.4,1165,-6.25,-6.4
109,AllenCCF_Z109,109_AP-6.5,1175,-6.35,-6.5
110,AllenCCF_Z110,110_AP-6.6,1185,-6.45,-6.6
111,AllenCCF_Z111,111_AP-6.7,1195,-6.55,-6.7
112,AllenCCF_Z112,112_AP-6.8,1205,-6.65,-6.8
113,AllenCCF_Z113,113_AP-6.9,1215,-6.75,-6.9
114,AllenCCF_Z114,114_AP-7.0,1225,-6.85,-7
115,AllenCCF_Z115,115_AP-7.1,1235,-6.95,-7.1
116,AllenCCF_Z116,116_AP-7.2,1245,-7.05,-7.2
117,AllenCCF_Z117,117_AP-7.3,1255,-7.15,-7.3
118,AllenCCF_Z118,118_AP-7.4,1265,-7.25,-7.4
119,AllenCCF_Z119,119_AP-7.5,1275,-7.35,-7.5
120,AllenCCF_Z120,120_AP-7.6,1285,-7.45,-7.6
121,AllenCCF_Z121,121_AP-7.7,1295,-7.55,-7.7
122,AllenCCF_Z122,122_AP-7.8,1305,-7.65,-7.8
123,AllenCCF_Z123,123_AP-7.9,1315,-7.75,-7.9
